日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2016-01-24,优,44,70,13,44,19,29,0.75,29
2016-01-25,良,66,197,30,81,57,58,1.79,16
2016-01-26,良,70,174,37,87,54,59,1.63,20
2016-01-27,轻度污染,105,255,75,140,78,85,3.06,8
2016-01-28,轻度污染,110,245,76,146,81,69,2.57,17
2016-01-29,优,38,62,13,37,16,21,0.59,40
2016-01-30,优,41,59,19,41,30,32,0.79,30
2016-01-31,良,61,165,38,73,47,52,1.59,22
2016-02-01,良,78,187,53,96,62,61,2.16,21
2016-02-02,良,68,101,44,79,69,57,1.98,24
2016-02-03,良,79,123,53,97,72,58,2.32,20
2016-02-04,良,63,118,36,72,56,47,1.56,31
2016-02-05,良,60,125,36,67,54,48,1.59,31
2016-02-06,优,44,38,24,46,48,37,1.27,38
2016-02-07,轻度污染,115,302,85,139,80,56,2.8,25
2016-02-08,轻度污染,137,157,100,158,67,43,2.1,35
2016-02-09,优,44,24,24,45,39,35,1.17,40
2016-02-10,良,75,183,50,91,58,51,1.95,27
2016-02-11,良,62,148,36,71,28,33,1.01,34
2016-02-12,良,75,174,49,83,25,35,1.33,22
2016-02-13,优,42,108,13,43,18,11,0.53,57
2016-02-14,优,35,99,12,27,21,18,0.67,54
2016-02-15,优,28,24,11,26,19,20,0.77,45
2016-02-16,优,33,17,9,32,20,23,0.78,48
2016-02-17,良,52,97,25,57,31,50,1.66,31
2016-02-18,良,77,196,47,95,41,61,2.25,29
2016-02-19,良,54,66,27,61,30,51,1.05,29
2016-02-20,优,48,63,25,52,29,45,1.15,29
2016-02-21,优,47,36,18,50,28,38,0.97,36
2016-02-22,轻度污染,102,260,73,137,51,59,2.06,26
2016-02-23,优,48,101,20,47,20,25,0.64,41
2016-02-24,良,68,183,37,82,35,54,1.56,23
2016-02-25,优,50,67,28,55,25,41,0.86,36
2016-02-26,良,82,223,58,103,41,68,2.23,19
2016-02-27,良,69,178,44,77,35,47,1.33,34
2016-02-28,良,56,95,32,62,30,39,0.99,40
2016-02-29,优,31,6,10,28,13,18,0.55,50
2016-03-01,轻度污染,109,297,78,129,52,76,2.44,24
2016-03-02,重度污染,231,363,181,272,73,116,3.9,19
2016-03-03,重度污染,208,352,161,232,47,70,1.74,39
2016-03-04,轻度污染,150,267,113,166,30,48,1.19,51
2016-03-05,轻度污染,106,165,60,154,24,49,1.12,32
2016-03-06,轻度污染,102,170,47,153,39,67,1.45,15
2016-03-07,轻度污染,101,217,42,150,36,53,1.07,28
2016-03-08,优,38,34,18,39,15,28,0.69,40
2016-03-09,优,41,136,18,43,21,40,0.94,33
2016-03-10,优,37,81,11,36,15,33,0.71,39
2016-03-11,良,51,102,19,54,26,45,0.94,36
2016-03-12,良,97,257,64,123,40,68,1.79,30
2016-03-13,良,64,138,34,68,19,36,0.79,49
2016-03-14,轻度污染,118,309,86,150,58,89,2.88,24
2016-03-15,轻度污染,127,294,93,176,63,94,2.64,31
2016-03-16,中度污染,190,339,144,228,54,87,2.48,48
2016-03-17,轻度污染,114,217,84,136,34,63,1.33,49
2016-03-18,中度污染,170,312,129,212,52,82,2.2,51
2016-03-19,良,65,92,31,78,24,47,0.84,55
2016-03-20,良,88,198,60,120,54,82,1.98,36
